Source,Target,Amount,LND1,elapsed_mpc_sec,elapsed_nompc_sec,elapsed_diff_sec
12449,9930,7,"[[12449, 9311, 12513, 5031, 18, 9930], np.float64(1.0010700000000001), np.int64(200), 6, 'Success']",0.5504757079761475,0.5594626249512658,
6280,3614,59,"[[6280, 6274, 3642, 84, 3614], np.float64(1.1800599999999999), np.int64(264), 5, 'Success']",0.5764000000199303,0.5554425000445917,
3310,6126,512,"[[3310, 855, 6171, 6126], np.float64(0.15361), np.int64(120), 4, 'Success']",0.025046915980055928,0.02687683398835361,
12420,7216,2978,"[[12420, 21, 6274, 7216], np.float64(1.00298), np.int64(224), 4, 'Failure']",0.036336791003122926,0.0549195830244571,
110,612,93003,"[[110, 12258, 2886, 612], np.float64(5.8932), np.int64(114), 4, 'Failure']",0.4707797080045566,0.48570370802190155,
5308,5615,520117,,0.7210895410971716,0.42650708300061524,
6880,81,1091332,"[[6880, 321, 81], np.float64(110.1332), np.int64(184), 3, 'Success']",0.02193712501320988,0.025863541988655925,
44,2177,12248898,,0.0004171249456703663,0.0004280409775674343,
6812,10383,6,"[[6812, 11188, 167, 2223, 10294, 10383], np.float64(0.00015999999999999999), np.int64(294), 6, 'Success']",0.29985979094635695,0.3112790830200538,
11990,7561,83,"[[11990, 855, 8301, 7218, 7561], np.float64(0.0166), np.int64(264), 5, 'Success']",0.22859212500043213,0.17036058299709111,
12449,9930,7,"[[12449, 9311, 12513, 5031, 18, 9930], np.float64(1.0010700000000001), np.int64(200), 6, 'Success']",0.5504757079761475,0.5594626249512658,-0.00898691697511822
6280,3614,59,"[[6280, 6274, 3642, 84, 3614], np.float64(1.1800599999999999), np.int64(264), 5, 'Success']",0.5764000000199303,0.5554425000445917,0.020957499975338578
3310,6126,512,"[[3310, 855, 6171, 6126], np.float64(0.15361), np.int64(120), 4, 'Success']",0.025046915980055928,0.02687683398835361,-0.0018299180082976818
12420,7216,2978,"[[12420, 21, 6274, 7216], np.float64(1.00298), np.int64(224), 4, 'Failure']",0.036336791003122926,0.0549195830244571,-0.01858279202133417
110,612,93003,"[[110, 12258, 2886, 612], np.float64(5.8932), np.int64(114), 4, 'Failure']",0.4707797080045566,0.48570370802190155,-0.014924000017344952
5308,5615,520117,,0.7210895410971716,0.42650708300061524,0.29458245809655637
6880,81,1091332,"[[6880, 321, 81], np.float64(110.1332), np.int64(184), 3, 'Success']",0.02193712501320988,0.025863541988655925,-0.003926416975446045
44,2177,12248898,,0.0004171249456703663,0.0004280409775674343,-1.0916031897068024e-05
6812,10383,6,"[[6812, 11188, 167, 2223, 10294, 10383], np.float64(0.00015999999999999999), np.int64(294), 6, 'Success']",0.29985979094635695,0.3112790830200538,-0.011419292073696852
11990,7561,83,"[[11990, 855, 8301, 7218, 7561], np.float64(0.0166), np.int64(264), 5, 'Success']",0.22859212500043213,0.17036058299709111,0.05823154200334102
